<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,01/09/21,00:00:00,306.6000000,313.9500000,306.1900000,312.8900000,79410570
GAZP,D,02/09/21,00:00:00,313.5900000,314.8000000,310.3000000,312.3000000,53349820
GAZP,D,03/09/21,00:00:00,312.7000000,317.9600000,311.1600000,317.9400000,63637790
GAZP,D,06/09/21,00:00:00,319.0000000,329.3500000,318.6000000,328.9300000,80141350
GAZP,D,07/09/21,00:00:00,329.9500000,333.0000000,325.5000000,327.7300000,71864800
GAZP,D,08/09/21,00:00:00,328.4900000,328.5000000,322.2200000,327.6000000,58765620
GAZP,D,09/09/21,00:00:00,326.0000000,328.1400000,323.5000000,324.5700000,40361580
GAZP,D,10/09/21,00:00:00,326.5500000,330.0000000,325.5000000,326.4300000,41425440
GAZP,D,13/09/21,00:00:00,327.5200000,333.0000000,327.3000000,332.7500000,55356420
GAZP,D,14/09/21,00:00:00,333.1300000,339.9200000,332.3600000,338.9800000,97138220
GAZP,D,15/09/21,00:00:00,339.3900000,344.2000000,337.7200000,343.3400000,108811990
GAZP,D,16/09/21,00:00:00,342.0000000,342.9900000,337.0300000,338.5000000,94713520
GAZP,D,17/09/21,00:00:00,338.8300000,339.2900000,333.3000000,334.5000000,61454980
GAZP,D,20/09/21,00:00:00,329.9700000,332.0000000,321.2600000,325.7000000,72882270
GAZP,D,21/09/21,00:00:00,328.7000000,336.7800000,328.4400000,335.3000000,77355030
GAZP,D,22/09/21,00:00:00,338.4000000,341.4900000,337.4000000,340.5900000,60974110
GAZP,D,23/09/21,00:00:00,342.0000000,345.2000000,339.4300000,343.4700000,63445330
GAZP,D,24/09/21,00:00:00,343.6700000,344.9000000,340.0000000,344.2900000,40071320
GAZP,D,27/09/21,00:00:00,347.5200000,355.1900000,347.0000000,355.1900000,80950780
GAZP,D,28/09/21,00:00:00,359.0000000,361.8000000,353.6800000,354.0700000,93838880
GAZP,D,29/09/21,00:00:00,354.0500000,360.9400000,352.3000000,360.8800000,60144670
