<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;06/12/21;08:00:00;347.2700000;348.7500000;347.2100000;348.2200000;789650
GAZP;60;06/12/21;09:00:00;348.3900000;348.5800000;347.8100000;348.5000000;395360
GAZP;60;06/12/21;10:00:00;348.5000000;349.3600000;348.0000000;348.0500000;1013730
GAZP;60;06/12/21;11:00:00;348.0500000;348.5000000;345.5600000;346.9000000;3665880
GAZP;60;06/12/21;12:00:00;346.8900000;347.0800000;334.9400000;336.6700000;17189040
GAZP;60;06/12/21;13:00:00;336.8100000;340.4900000;335.2600000;336.2400000;8259950
GAZP;60;06/12/21;14:00:00;336.2000000;337.7100000;333.3500000;335.0400000;9226700
GAZP;60;06/12/21;15:00:00;335.3000000;338.3100000;333.5000000;338.3100000;7117490
GAZP;60;06/12/21;16:00:00;338.3000000;338.7700000;335.7000000;336.9600000;3838630
GAZP;60;06/12/21;17:00:00;336.8600000;337.4000000;335.0000000;336.3300000;3091300
GAZP;60;06/12/21;18:00:00;336.3000000;338.1300000;335.1900000;337.0700000;5022340
GAZP;60;06/12/21;19:00:00;337.0200000;337.1800000;335.5000000;335.5000000;5304180
GAZP;60;06/12/21;20:00:00;336.2700000;338.3800000;335.7700000;337.4000000;1495890
GAZP;60;06/12/21;21:00:00;337.4000000;339.4900000;337.1200000;339.1900000;2368570
GAZP;60;06/12/21;22:00:00;339.1900000;339.4700000;338.0800000;338.6200000;911460
GAZP;60;06/12/21;23:00:00;338.6000000;339.2600000;338.2000000;338.7500000;602080
GAZP;60;07/12/21;00:00:00;338.7500000;339.2800000;337.3700000;338.9400000;632300
GAZP;60;07/12/21;08:00:00;339.2500000;340.0000000;338.0000000;339.1500000;673600
GAZP;60;07/12/21;09:00:00;339.4000000;341.0200000;338.0900000;340.8900000;724730
GAZP;60;07/12/21;10:00:00;340.8800000;340.9900000;336.3200000;339.2100000;1714400
GAZP;60;07/12/21;11:00:00;339.0000000;341.8500000;335.4700000;338.1800000;8266230
GAZP;60;07/12/21;12:00:00;338.1800000;339.1700000;333.4300000;334.6100000;13347590
GAZP;60;07/12/21;13:00:00;334.6000000;335.9800000;334.2000000;335.5400000;3945170
GAZP;60;07/12/21;14:00:00;335.5600000;339.0300000;334.6600000;337.8900000;4872200
GAZP;60;07/12/21;15:00:00;337.8900000;339.1900000;336.3600000;338.6900000;3734030
GAZP;60;07/12/21;16:00:00;338.7400000;340.8700000;337.5100000;338.3900000;5356580
GAZP;60;07/12/21;17:00:00;338.3500000;339.5800000;336.0800000;337.0200000;4442990
GAZP;60;07/12/21;18:00:00;336.8700000;339.3000000;336.1800000;339.1700000;3976010
GAZP;60;07/12/21;19:00:00;339.1800000;344.0000000;337.9400000;342.6000000;11449060
GAZP;60;07/12/21;20:00:00;342.5500000;343.7800000;341.0000000;343.4600000;4140080
GAZP;60;07/12/21;21:00:00;343.4000000;344.4000000;342.0500000;344.1200000;2080420
GAZP;60;07/12/21;22:00:00;344.1200000;346.0000000;343.4000000;344.8500000;4060900
GAZP;60;07/12/21;23:00:00;344.9700000;345.6400000;344.7300000;345.0100000;1439510
GAZP;60;08/12/21;00:00:00;345.0100000;345.7100000;344.8500000;344.9600000;1283980
GAZP;60;08/12/21;08:00:00;346.0000000;348.4000000;345.4500000;347.9000000;1308680
GAZP;60;08/12/21;09:00:00;347.8800000;348.4700000;347.1200000;347.5300000;889890
GAZP;60;08/12/21;10:00:00;347.5300000;348.2500000;347.1000000;348.2500000;1042570
GAZP;60;08/12/21;11:00:00;348.2400000;348.3800000;343.4300000;345.4000000;9457000
GAZP;60;08/12/21;12:00:00;345.4000000;346.5000000;342.5000000;345.4900000;6582570
GAZP;60;08/12/21;13:00:00;345.5900000;348.2000000;344.5900000;348.0600000;5122400
GAZP;60;08/12/21;14:00:00;348.0600000;348.2000000;344.8900000;345.3000000;5879120
GAZP;60;08/12/21;15:00:00;345.1300000;347.2700000;342.5100000;346.3700000;8396570
GAZP;60;08/12/21;16:00:00;346.3700000;346.6200000;344.0300000;345.3100000;5821280
